time,speed_compact_summer_test1,speed_compact_summer_test2,speed_compact_summer_test3,speed_compact_summer_test4,speed_compact_summer_test5,speed_compact_allSeason_test1,speed_compact_allSeason_test2,speed_compact_allSeason_test3,speed_compact_allSeason_test4,speed_compact_allSeason_test5,speed_compact_winter_test1,speed_compact_winter_test2,speed_compact_winter_test3,speed_compact_winter_test4,speed_compact_winter_test5,speed_sedan_summer_test1,speed_sedan_summer_test2,speed_sedan_summer_test3,speed_sedan_summer_test4,speed_sedan_summer_test5,speed_sedan_allSeason_test1,speed_sedan_allSeason_test2,speed_sedan_allSeason_test3,speed_sedan_allSeason_test4,speed_sedan_allSeason_test5,speed_sedan_winter_test1,speed_sedan_winter_test2,speed_sedan_winter_test3,speed_sedan_winter_test4,speed_sedan_winter_test5,speed_suv_summer_test1,speed_suv_summer_test2,speed_suv_summer_test3,speed_suv_summer_test4,speed_suv_summer_test5,speed_suv_allSeason_test1,speed_suv_allSeason_test2,speed_suv_allSeason_test3,speed_suv_allSeason_test4,speed_suv_allSeason_test5,speed_suv_winter_test1,speed_suv_winter_test2,speed_suv_winter_test3,speed_suv_winter_test4,speed_suv_winter_test5
0.1,0.039,-0.046,0.178,-0.91,-1.568,0.046,-0.94,-0.593,-0.61,0.088,-0.015,0.392,-0.371,-0.31,0.045,0.899,0.661,-0.766,0.143,0.363,-0.074,-0.477,1.428,-0.214,-0.497,0.206,0.194,-0.264,-0.439,0.186,0.345,-0.269,-1.367,-1.626,-0.24,0.247,0.189,-1.017,-0.543,-0.18,0.12,-0.663,0.467,-0.224,0.01
0.11,-0.019,0.318,0.26,-0.419,0.215,-0.253,-0.039,0.423,-0.346,NaN,-1.254,-0.619,0.441,-0.856,0.329,-0.744,0.084,0.006,-0.115,0.397,-0.159,-0.573,0.113,-0.644,0.167,-0.314,0.329,-0.16,-0.248,-1.254,-0.728,-0.124,NaN,NaN,-0.816,0.643,0.099,0.185,0.015,0.201,0.082,-0.759,-0.559,0.451,-0.059
0.12,-0.79,0.497,0.037,0.776,-0.629,-0.835,0.403,0.039,-0.273,0.259,0.108,-0.651,0.568,-0.32,0.319,0.176,-0.881,0.602,NaN,0.544,0.467,0.291,0.449,-0.302,-0.819,0.065,-0.176,0.471,0.417,-0.572,-1.338,0.101,0.349,1.22,-0.603,-0.133,0.33,-0.475,-1.08,-0.508,0.454,0.305,-0.731,0.804,-1.03
0.13,0.497,-0.279,0.186,-0.365,0.186,-0.953,-0.915,-1.633,0.323,0.005,-1.812,-0.059,-0.65,0.568,0.29,0.326,-0.645,0.285,-1.118,0.308,0.147,-0.404,0.479,-1.207,NaN,0.398,0.703,-0.134,0.817,-0.111,0.099,0.304,0.231,0.162,-0.233,-0.395,0.444,0.257,0.861,0.108,0.481,0.05,-0.089,0.731,-0.398
0.14,-0.903,-0.263,-0.019,0.629,1.524,0.606,-0.127,0.047,0.154,0.412,0.449,-0.88,-0.018,0.532,0.423,0.246,NaN,-0.648,-0.656,0.224,-1.301,-0.147,-0.312,-0.118,0.496,0.782,-0.429,0.347,-0.777,-0.357,0.784,-0.364,-0.364,NaN,-1.35,-1.563,-0.58,-0.921,0.275,-0.601,0.55,-0.834,-0.312,0.534,-1.148
0.15,-0.318,-0.75,-0.271,-0.61,-0.272,0.493,-0.621,-0.424,0.364,1.121,-0.859,0.387,0.151,-1.798,0.233,-0.531,-0.028,-0.806,0.25,-1.383,0.843,-0.828,-0.756,-0.135,-1.054,-0.197,0.344,0.01,-0.717,-1.302,0.332,0.348,-0.622,-0.382,-0.689,-0.058,0.304,-1.118,-0.373,0.46,-0.214,-1.033,-0.912,-0.125,-0.06
0.16,1.237,1.018,0.157,0.25,0.408,-0.255,-1.021,0.536,-0.854,-0.251,-1.015,-0.089,0.002,0.924,-0.059,-0.05,-1.042,0.936,0.099,-0.368,0.094,0.807,-0.143,0.093,0.016,-0.029,NaN,0.094,0.555,0.818,-0.509,-0.567,-0.554,0.344,-0.461,0.667,NaN,-0.072,0.379,-1.018,-0.033,0.277,0.095,-0.317,0.658
0.17,-0.121,-0.685,0.116,-0.335,0.501,1.136,-0.955,0.084,0.434,0.299,1.203,-1.425,0.56,-0.267,0.385,-0.792,0.712,-0.178,0.086,-0.301,-0.945,-0.157,-0.171,-0.886,0.075,0.168,-0.868,0.158,0.707,0.793,-0.975,0.067,0.278,-0.24,-0.2,-0.801,0.198,-0.289,0.967,0.714,-0.403,0.151,-0.51,0.553,0.001
0.18,0.359,-0.013,0.433,-0.498,-0.666,-0.631,0.154,-1.176,-0.157,-0.933,-0.533,-0.532,-0.865,0.45,0.129,0.524,0.318,0.545,0.446,0.753,-0.067,0.959,-0.493,0.405,-0.27,-0.242,0.087,0.475,0.136,0.428,-0.059,0.719,-0.95,0.406,-0.705,0.053,-0.64,1.226,-0.435,0.833,-0.804,-0.076,-0.328,-1.221,-0.758
0.19,0.233,-0.469,-0.554,-0.157,0.378,0.017,0.008,-0.299,-0.97,0.152,0.089,-1.07,-0.018,-1.325,-0.086,0.286,0.085,1.357,0.569,-0.381,-0.458,NaN,0.807,-0.188,-0.169,-0.608,-1.547,0.438,0.717,-1.038,NaN,-0.089,0.401,0.404,-0.855,NaN,-0.182,0.105,-0.076,0.238,-0.94,0.365,-0.446,-0.62,0.034
0.2,-0.4,0.74,1.156,0.553,0.877,0.312,0.006,0.331,-1.372,-0.108,-0.801,-0.882,0.218,-0.219,-0.055,0.405,-0.821,-1.061,0.02,-0.128,-0.256,-0.726,-0.165,-0.41,0.234,-0.844,-0.488,-0.033,0.458,-0.591,0.442,0.51,-0.705,0.916,-1.105,0.077,-0.529,-0.175,0.211,0.019,-0.598,-0.891,0.312,0.261,-0.727
0.21,-0.73,0.261,-0.88,-0.108,-0.104,-0.526,-0.121,-0.906,-0.356,0.62,-0.313,0.44,0.446,0.227,0.416,-0.629,-0.912,0.173,-0.16,0.578,-1.068,0.075,-0.002,-0.654,0.55,-0.488,-0.483,-0.527,0.578,-0.862,-0.366,-0.126,-0.414,0.552,-0.914,NaN,0.173,-1.022,-0.043,0.567,-0.301,-0.391,0.474,0.319,0.03
0.22,-0.78,0.333,-0.95,0.231,0.655,0.1,0.004,0.421,0.048,-0.03,-0.579,-0.488,-0.228,0.09,-1.01,0.332,0.629,0.938,-0.968,-0.096,-0.334,-0.212,0.846,-0.476,-0.564,0.311,0.087,-0.053,-0.426,-0.807,-0.091,0.855,0.011,-0.95,0.669,-0.191,-0.166,-0.341,-1.267,-0.248,-0.031,-0.138,-0.153,0.343,0.316
0.23,-0.011,NaN,-0.385,0.813,-0.23,-0.634,0.013,-0.031,-1.105,-0.092,0.243,0.177,-0.47,-0.313,0.564,-0.636,-0.152,-0.4,0.836,-0.35,-1.035,0.789,0.111,-0.323,0.876,1.009,0.484,-0.28,-0.212,NaN,NaN,0.407,-0.35,0.887,-0.072,-1.295,-0.281,-0.007,-0.154,0.768,0.094,0.662,-0.306,-0.432,-0.031
0.24,0.86,-0.828,-0.914,-0.521,-0.732,0.022,-0.683,-1.54,-0.35,0.019,-0.282,-0.176,-0.037,0.051,0.468,-0.382,0.354,-0.96,0.396,-0.898,0.811,-0.445,-0.524,0.296,-0.973,0.175,-0.578,0.419,0.262,0.384,0.276,-0.05,-0.197,0.9,-0.419,0.033,-0.615,-0.9,-0.661,-0.134,0.663,-0.613,-0.629,-0.35,-0.863
0.25,0.089,0.256,0.231,-0.849,-0.943,0.046,0.143,0.276,-0.616,0.92,0.218,-0.589,0.667,-1.181,-1.038,0.474,-1.041,0.857,-0.051,0.148,0.957,0.5,-0.314,-0.591,-0.087,0.194,-0.006,0.847,-0.601,0.413,0.388,NaN,0.106,-1.365,0.41,-0.746,0.476,0.253,-0.756,NaN,0.587,0.276,-0.129,0.331,0.382
0.26,-0.09,-0.061,-0.056,-0.083,0.945,0.599,NaN,-1.21,0.519,-1.358,-0.184,-0.627,0.168,-0.127,0.056,0.356,-0.084,-1.332,0.334,0.865,0.199,0.029,0.011,-1.647,0.428,0.105,1.477,-0.037,-0.775,-0.565,0.092,0.339,1.307,0.704,0.578,-0.314,-0.965,0.699,-0.366,0.334,0.079,-0.839,-0.263,0.022,-0.983
0.27,0.028,0.179,0.115,0.197,0.882,0.567,-0.092,-0.041,-0.954,NaN,1.114,-1.264,0.078,-1.222,0.011,0.313,0.06,0.032,-0.068,-0.669,0.191,0.265,-0.868,-0.579,-0.075,-1.159,0.822,0.448,-0.379,0.787,-1.052,0.271,-0.268,-0.005,0.064,-0.592,0.074,0.127,-1.333,-0.413,0.403,0.304,0.255,-0.714,0.834
0.28,-0.576,0.125,-0.272,-0.105,-0.017,0.364,-0.897,0.858,-0.006,-1.783,-0.781,0.671,-1.114,-0.979,-0.487,-0.818,-0.391,-0.193,-0.269,0.096,-1.22,0.573,0.419,0.756,0.063,-0.107,-0.588,0.007,-0.575,-0.638,-0.969,0.296,0.638,-0.534,NaN,-0.26,0.441,-0.767,0.594,-0.412,-0.621,0.596,0.957,-0.485,0.423
0.29,-0.266,-0.185,0.019,0.146,-0.361,0.554,-0.522,-0.363,-0.819,0.645,NaN,-0.507,-0.804,-0.314,-0.151,0.22,0.006,-0.746,0.231,-0.885,-0.031,0.359,0.395,0.516,0.413,-0.164,0.768,-0.288,0.54,-1.155,-1.26,-0.876,-0.956,-0.086,0.873,0.227,0.19,-0.602,-0.03,0.217,0.006,-0.579,0.112,0.87,0.085
0.3,-0.002,-1.143,0.646,0.812,-0.183,0.653,0.275,-0.304,0.554,1.301,-0.884,0.026,-0.286,-0.756,-0.067,-0.135,0.246,0.285,0.221,-0.087,-0.238,-1.213,0.415,-1.076,0.725,0.714,-0.809,-0.419,0.325,-1.002,-0.339,0.31,0.001,-0.751,NaN,-0.591,0.247,-0.368,-0.943,-0.039,-0.176,-0.771,-1.026,0.256,0.222
0.31,-0.533,-1.037,-0.923,0.039,0.554,-0.215,-0.374,0.55,-0.866,-1.115,0.07,0.892,-0.489,-0.923,0.245,-0.017,-0.127,-1.284,-0.669,0.558,-1.111,-0.214,-0.106,-0.502,-0.214,0.087,-0.696,-0.39,0.788,-0.494,NaN,-0.022,-0.284,-0.226,0.089,0.06,-0.012,0.142,-1.026,1.249,0.302,-0.014,-0.881,0.527,0.342
0.32,-0.566,-0.014,0.03,-0.923,0.225,-0.351,-1.439,0.028,0.286,-0.263,-0.682,0.111,-0.22,-0.38,-0.62,-0.798,-0.455,0.213,-1.824,0.949,-0.811,-0.199,-1.212,-1.175,-0.68,-1.146,-1.134,-0.318,-0.559,-0.065,-0.384,-0.717,0.599,0.065,-0.364,0.059,-0.893,0.268,0.193,0.069,0.209,0.007,0.196,-1.19,-0.478
0.33,-0.332,0.92,1.249,-1.053,NaN,-0.616,-0.005,-1.117,-1.063,-0.751,0.187,-0.277,0.511,1.295,0.546,0.374,-0.331,-0.484,0.364,NaN,-0.108,0.291,0.053,0.067,0.16,-0.266,-0.291,0.426,0.761,-0.952,0.147,0.759,-0.081,1.054,-0.691,0.292,-0.353,0.242,-0.606,0.003,-0.763,-0.246,0.461,0.712,0.007
0.34,1.09,-0.363,0.9,0.695,-0.87,0.14,-0.364,0.011,-0.108,0.3,-0.075,0.749,-0.861,-0.437,-0.027,-0.371,-0.967,-0.202,-0.026,1.475,-0.157,0.351,-0.884,0.147,-0.496,0.207,-0.134,-0.362,-0.304,-0.533,0.555,-0.389,0.168,-0.483,0.446,-1.69,-0.389,1.354,-1.039,0.716,-0.105,-0.808,1.035,-0.922,0.157
0.35,-0.763,0.65,0.17,-1.215,-0.003,0.076,0.428,-0.637,0.472,0.234,0.579,-0.63,-1.994,0.724,0.234,-0.305,-1.203,-0.37,-0.318,0.471,0.121,0.325,-0.448,0.469,-0.772,0.932,0.471,-1.388,-0.624,0.364,-1.31,-0.638,-1.17,0.308,-1.261,-0.816,0.564,0.138,-0.764,0.608,0.798,-0.146,-0.227,1.669,0.636
0.36,-0.738,0.514,-0.764,0.944,-0.183,-0.65,0.489,0.39,0.76,0.05,-0.578,-0.172,1.365,-1.584,0.025,-0.097,-0.519,-0.207,0.144,-0.625,-0.193,-0.392,0.282,-1.248,-1.155,-0.356,0.771,0.352,-0.065,-0.128,-0.972,0.344,-0.18,-0.194,-0.158,-0.487,-0.894,0.038,-0.37,-0.24,-0.482,-0.062,0.137,0.311,0.282
0.37,-0.727,0.253,0.942,-0.866,0.953,-0.107,-0.058,0.408,-1.235,0.976,0.127,-1.097,-0.37,-0.292,0.157,-0.588,NaN,0.004,-0.487,-0.284,-0.406,0.011,0.297,0.349,-0.329,-0.054,0.542,0.046,-1.213,0.477,0.287,0.054,0.33,0.35,0.31,0.675,-0.807,0.263,0.39,-0.195,0.425,-0.019,-0.174,0.39,0.269
0.38,0.725,-0.504,-0.799,1.039,-0.81,-0.355,-0.428,-0.178,1.132,-0.326,-1.288,-0.195,-0.04,1.128,NaN,0.667,-0.94,-0.081,0.429,-0.248,0.573,-0.188,0.478,0.025,0.361,-0.597,-1.623,0.11,-0.693,-0.194,0.185,0.796,0.264,0.485,NaN,0.635,-1.157,0.25,-0.417,0.884,-0.599,0.914,0.074,-1.653,0.138
0.39,-0.71,NaN,0.377,-1.319,-0.443,0.455,-1.234,0.168,0.451,-0.118,-1.065,0.328,0.534,-0.244,-0.711,-0.796,0.329,-0.895,-0.622,0.266,-0.815,-0.283,0.443,0.291,-0.626,0.015,0.053,-0.842,-0.483,-0.221,0.542,0.118,0.147,0.727,0.028,-1.463,-0.468,-0.377,-0.785,-1.579,-1.432,0.072,0.162,0.281,0.286
0.4,0.511,0.266,-0.383,-0.538,0.432,-0.707,0.994,0.597,-0.862,-0.625,-0.003,-0.149,-0.598,NaN,-0.356,-0.105,-0.694,NaN,1.176,0.49,0.011,-0.364,-0.836,-0.083,-0.591,-1.513,-0.279,0.022,0.023,0.401,0.851,0.329,-0.193,-0.455,-1.047,0.263,0.008,-0.196,-0.139,0.2,-0.639,-0.147,0.152,0.949,0.714
0.41,-0.587,1.154,-0.034,0.504,-0.279,0.878,0.818,0.173,-0.236,0.509,0.856,-0.495,-0.735,-0.629,NaN,0.19,0.186,0.702,0.194,0.368,0.693,-0.505,0.143,-0.673,0.715,0.649,-0.649,-0.606,-1.096,0.176,-1.61,0.224,-0.648,-0.375,-0.692,0.426,0.366,-0.535,0.13,0.092,0.728,-0.391,0.204,-0.874,-0.216
0.42,0.683,-0.326,-0.239,0.34,-0.212,-0.323,0.174,0.231,0.128,-0.324,-0.188,-0.422,-0.104,0.033,-0.338,-0.628,0.112,-0.299,-1.61,0.713,0.331,-0.421,-0.112,0.506,1.043,-0.316,-0.26,0.073,0.509,-1.008,0.184,0.512,0.279,0.073,-0.446,-0.091,0.789,0.555,-0.065,0.204,0.473,0.798,-0.775,-0.394,0.015
0.43,-0.507,-0.231,0.61,-0.119,-0.274,-0.976,0.82,0.384,0.002,0.054,-0.79,0.578,-0.004,0.576,-0.389,-0.207,0.085,-0.501,0.419,0.385,-0.275,-0.579,0.446,0.288,-0.259,0.98,0.151,-0.057,0.106,1.238,-0.182,-0.324,0.044,0.687,-0.642,-0.4,0.396,-0.366,-0.843,-0.248,0.06,0.692,-0.036,0.365,-1.648
0.44,0.558,-0.236,-0.071,-0.313,-0.425,0.404,0.288,-1.391,-0.665,-0.222,-1.18,-0.494,-0.067,-1.289,-0.048,1.027,-0.259,0.261,1.069,-0.066,0.681,-0.308,0.149,0.13,-0.268,-0.811,0.613,0.257,0.039,-0.393,-0.748,-0.234,-1.223,-0.053,0.031,0.235,NaN,-0.075,0.543,-0.661,-0.094,-0.603,0.59,0.426,0.498
0.45,0.311,-0.7,1.032,0.431,0.107,0.683,-1.149,0.012,-0.012,-0.858,-0.284,0.959,0.727,-0.743,-0.937,-0.113,-0.294,0.912,-0.938,-0.011,0.301,0.525,0.454,0.371,0.907,0.244,-0.149,-0.596,0.132,0.166,-0.44,-0.895,0.571,0.103,0.38,0.408,-0.638,-0.725,-0.043,-0.444,0.214,0.496,-0.541,0.128,0.157
0.46,-0.106,-0.108,-0.167,-0.217,-0.517,0.017,-1.154,-0.315,0.446,-0.262,-0.664,0.089,1.086,-0.159,0.369,-0.441,0.74,0.709,-0.062,0.288,0.086,0.036,-0.205,-0.281,0.328,-0.027,0.095,-0.075,-0.081,0.015,-0.014,-0.211,-0.074,0.522,-0.005,-0.393,0.509,-0.278,0.76,-0.317,0.289,-0.479,-1.146,-0.296,-0.169
0.47,-0.266,-0.726,0.92,0.429,-0.827,-0.461,0.216,0.787,-0.131,-0.832,0.673,0.151,-0.122,-0.762,-1.051,0.443,-0.422,NaN,0.065,0.852,0.194,0.058,NaN,-0.032,-1.143,-1.022,0.3,-0.18,0.754,-0.73,-0.082,0.226,-0.767,NaN,-0.502,0.89,-0.145,-0.75,0.122,-0.421,0.025,-1.068,0.199,-0.413,0.667
0.48,0.508,0.906,-0.079,-0.524,0.057,-0.526,-0.024,-0.91,-0.682,0.551,0.764,0.129,0.382,-0.327,0.179,0.981,0.232,-0.719,-1.176,-0.345,-1.491,-0.142,-0.998,-0.275,0.143,0.2,0.121,-0.99,0.402,-0.311,-1.606,-0.309,0.198,-0.256,0.01,1.058,-0.167,0.31,-1.054,-0.089,-0.664,-0.525,0.239,0.425,0.031
0.49,-0.385,0.448,-0.123,-0.333,-0.844,-0.029,-0.643,0.67,-0.627,0.495,0.536,0.446,-0.21,-0.033,-0.796,0.258,0.682,0.139,0.081,-0.294,-0.701,-0.236,-0.54,-1.522,-0.017,-0.181,0.431,-0.579,0.058,0.386,NaN,0.066,0.33,0.081,0.005,-0.308,-0.953,-0.871,0.213,-1.247,0.144,NaN,-0.918,0.18,-0.427
0.5,-0.499,-0.271,0.659,0.642,-0.375,-0.723,0.182,0.203,0.047,-0.378,-0.879,-0.104,0.406,-0.807,NaN,0.059,0.201,0.258,0.143,0.507,-0.666,-0.074,0.66,0.759,-0.553,-0.018,-0.244,-0.091,-0.009,-0.094,-0.044,0.168,0.57,-0.011,0.434,0.422,0.979,0.995,-0.308,-0.149,-0.832,-1.227,-1.317,1.042,0.4
0.51,-0.174,0.799,-0.548,0.65,-0.683,0.906,-0.688,-0.276,0.014,-0.319,-0.089,-0.052,0.29,-0.062,0.575,-0.315,-1.562,-0.423,-0.769,0.59,0.057,-0.985,-0.235,0.645,0.459,0.313,0.802,-0.184,-0.169,0.459,-1.036,0.087,-0.096,-0.524,-0.528,-1.043,NaN,-0.341,-0.332,-0.112,0.692,-0.371,-0.89,-0.892,1.02
0.52,-0.748,-0.149,-1.196,-1.314,0.398,0.334,0.74,-1.775,0.185,-0.111,-0.544,0.897,-0.071,-0.849,0.714,-0.379,-0.098,-0.355,0.08,0.655,-0.959,NaN,-0.221,-0.728,-0.988,0.574,0.036,0.908,-0.854,-0.28,0.223,0.112,0.169,-1.094,-0.025,NaN,-1.244,1.01,0.037,0.327,0.403,-0.212,-0.697,0.044,0.439
0.53,1.323,-0.377,0.345,0.121,0.089,NaN,-0.144,0.353,-0.708,-0.008,-1.27,0.41,-0.195,-1.024,0.21,-0.412,1.616,0.836,0.457,-0.904,0.024,0.419,1.442,-0.901,0.574,-0.898,0.06,1.127,-0.597,0.098,-0.891,-0.493,-0.22,-0.025,-0.893,0.583,-0.704,0.393,0.137,-0.797,-0.941,0.039,-0.382,-0.538,-0.357
0.54,-0.275,0.219,0.12,0.201,-0.39,-0.414,0.239,-0.016,-0.343,-0.081,NaN,-1.369,0.89,-1.287,-1.134,-0.067,1.105,0.043,0.25,-0.672,-0.714,-0.956,0.145,-0.75,NaN,-0.372,0.014,0.175,-0.861,0.4,0.041,0.124,-0.604,-0.019,-0.064,-0.149,0.218,-0.147,0.193,0.491,-1.05,-1.445,-0.959,-1.039,-0.611
0.55,0.324,0.343,-0.453,-0.855,-0.017,-1.241,-0.489,0.614,-0.629,0.169,NaN,-0.326,0.255,NaN,-0.235,0.347,-0.351,0.046,0.64,-0.161,-0.38,0.387,-0.606,-1.352,-0.902,-0.301,-0.798,-0.455,0.185,-0.027,-0.115,-0.647,-0.213,-0.229,0.08,-1.187,0.248,0.442,-1.056,0.003,-0.022,0.029,0.136,0.051,0.792
0.56,0.047,-0.468,-0.457,0.152,0.184,0.788,0.704,-0.049,0.198,-0.778,0.537,0.522,-0.746,-0.383,0.038,-0.54,-0.061,-0.308,-0.524,-1.189,0.672,-0.732,-0.475,-1.109,-0.22,-1.266,0.259,-0.054,0.574,-0.149,0.067,0.463,0.112,-1.243,0.746,0.316,NaN,-0.139,-1.124,-0.03,0.335,-0.883,0.231,0.207,-0.138
0.57,0.237,0.23,-0.804,-0.024,-0.384,-0.587,-0.824,0.1,-0.707,0.876,0.526,-0.571,1.162,-0.814,0.029,0.04,-0.741,0.704,-0.023,0.879,0.097,0.327,0.311,-0.473,0.174,-0.882,0.067,-0.368,-0.331,-0.884,-0.693,0.385,0.601,0.115,-0.726,-0.502,-0.811,0.302,-0.913,1.018,0.452,-0.791,0.108,-0.662,0.117
0.58,-1.259,-0.068,0.519,-0.164,0.082,-1.199,1.044,-0.376,-0.692,0.226,-0.212,-0.052,-0.191,-1.485,-0.092,0.365,-0.722,-0.77,NaN,-0.048,0.359,0.026,0.083,0.376,-0.406,0.512,0.849,-0.52,-0.022,-0.651,0.731,-0.366,0.182,-0.582,-0.153,-0.789,0.16,-1.18,0.291,-0.601,-0.322,0.48,0.015,0.134,-0.677
0.59,0.038,-1.209,-0.961,0.563,0.152,0.28,-0.018,0.817,0.783,-0.088,-0.337,-0.673,-0.632,0.131,0.254,0.049,0.324,-0.485,0.39,-0.076,-0.182,-0.268,-0.221,-0.406,-0.69,NaN,0.939,-0.98,-0.46,0.792,-0.265,0.172,-0.786,0.398,0.42,0.62,-0.103,0.236,0.013,0.126,-0.516,-1.029,-0.135,0.114,-0.006
0.6,0.249,NaN,-1.023,-0.261,-0.396,-0.04,-0.537,-0.084,0.447,-0.25,NaN,-0.673,-1.006,0.53,0.953,-0.566,-0.389,-0.037,-1.414,-0.364,0.345,-1.174,0.715,-0.079,NaN,-0.069,-1.07,-0.543,-0.965,-0.123,-0.634,1.07,0.366,-0.737,-0.378,-0.938,-0.303,0.427,-0.593,-0.169,0.284,0.149,-0.411,-0.259,0.055
